time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-02-22T04:56:17.540Z,37.758,102.3394,10.1,4.4,mb,,79,10.5,0.88,us,usc000mw7l,2014-03-21T05:41:27.152Z,"83km S of Jinchang, China",earthquake
2013-10-20T10:03:36.610Z,34.3389,104.1705,15.88,4.1,mb,,73,3.951,0.84,us,usc000kpfc,2014-01-10T05:55:24.275Z,"8km ESE of Sigou, China",earthquake
2013-09-19T21:37:04.250Z,37.7466,101.5133,20.5,5,mww,,21,7.064,0.73,us,usb000jwf9,2014-01-06T17:59:32.000Z,"56km ESE of Hongtu, China",earthquake
2013-08-17T04:55:10.850Z,34.5214,104.2968,15.49,4.3,mb,,84,3.862,0.49,us,usb000jaax,2013-10-19T03:45:45.283Z,"18km ENE of Chabu, China",earthquake
2013-07-28T15:26:23.940Z,34.5437,104.2362,14.97,4.6,mb,,58,3.914,0.53,us,usc000ir55,2013-09-23T22:31:24.169Z,"14km ENE of Chabu, China",earthquake
2013-07-22T01:12:35.650Z,34.5692,104.1271,10.09,5.6,mb,88,25,13.9,1.15,us,usb000ijfc,2013-09-23T19:52:55.000Z,"9km NNE of Chabu, China",earthquake
2013-07-22T00:09:43.700Z,34.5451,104.5406,9.38,4.7,mb,18,148,3.66,1.22,us,usb000ijek,2013-07-22T08:12:09.422Z,"14km SW of Xinsi Zhen, China",earthquake
2013-07-21T23:45:56.960Z,34.4991,104.2427,9.84,5.9,Mwp,121,19,3.9,0.89,us,usb000ije3,2013-11-01T18:59:19.000Z,"13km E of Chabu, China",earthquake
2012-05-11T10:18:10.010Z,37.735,102.048,10,5,mb,173,29.6,,0.9,pde,pde20120511101810010_10,2013-03-16T00:11:38.490Z,"Gansu-Qinghai border region, China",earthquake
2011-11-01T17:18:06.990Z,34.538,104.172,31.9,5,mb,179,51.7,,0.85,pde,pde20111101171806990_31,2013-03-16T00:06:37.122Z,"Gansu, China",earthquake
2011-02-23T13:32:13.040Z,34.415,103.857,12.1,4.6,mb,49,58.4,,1.14,pde,pde20110223133213040_12,2013-03-16T01:52:31.279Z,"Gansu, China",earthquake
2010-11-20T08:39:45.820Z,37.588,102.921,39.7,4.1,mb,19,98.5,,0.8,pde,pde20101120083945820_39,2013-03-16T01:51:13.794Z,"Gansu-Qinghai border region, China",earthquake
2009-10-27T07:55:02.280Z,37.125,103.754,10,4,mb,14,143,,0.72,pde,pde20091027075502280_10,2013-03-16T01:47:26.182Z,"Gansu, China",earthquake
2009-07-16T04:44:30.630Z,38.866,101.314,15.4,5.1,mb,159,61.1,,0.53,pde,pde20090716044430630_15,2013-03-16T01:46:16.840Z,"Gansu, China",earthquake
2008-09-30T15:32:41.210Z,37.886,101.869,10,3.8,mb,10,119.9,,1.32,pde,pde20080930153241210_10,2013-03-16T01:42:59.618Z,"northern Qinghai, China",earthquake
2008-08-28T00:04:43.650Z,37.695,101.547,10,4.1,mb,27,150.6,,0.71,pde,pde20080828000443650_10,2013-03-16T01:42:30.158Z,"northern Qinghai, China",earthquake
2008-08-24T20:30:28.940Z,34.26,104.646,10,0,,10,150,,0.3,pde,pde20080824203028940_10,2013-03-16T01:42:26.479Z,"Gansu, China",earthquake
2008-08-24T20:30:05.240Z,34.267,104.776,35.6,0,,12,107.4,,0.98,pde,pde20080824203005240_35,2013-03-16T01:42:26.423Z,"Gansu, China",earthquake
